label,content,,,,,,,,,,,,,,,,,,
1,Because behaving like civilized and educated person is `` to white '' for negroes .,,,,,,,,,,,,,,,,,,
1,Deport all Indians back to India and make them pay for the trip .,,,,,,,,,,,,,,,,,,
1,White kids need to interact with kneegrows and other non white kids or they 'll be lost in the real come the time they leave home ...,,,,,,,,,,,,,,,,,,
1,When I am around young people and rap music or negro culture comes up I make gestures implying the savagery of blacks .,,,,,,,,,,,,,,,,,,
1,Their brains have never developed so they think there still in the wild jungles of Africa .,,,,,,,,,,,,,,,,,,
1,Having worked around blacks at my previous job every stereotype you hear are all true .,,,,,,,,,,,,,,,,,,
1,Frederick neichzche embraced the notion that for a race to evolve there had to be a struggle to kill of the weaker elements to keep them from contaminating the gene pool. in the US one could say that there is a breeding program to breed dumb ghetto blacks .,,,,,,,,,,,,,,,,,,
1,Instead it is the athletic negro Holyfield 11 kids , Mike Tyson 7 kids , Riddick Bowe 5 kids , George Foreman 10 kids who procreate like apes and spread these athlete genes along .,,,,,,,,,,,,,,,
1,It's weird most Indians dot and to an extent feather that I deal with hate blacks more than they do whites and find blacks to be lazy and worthless .,,,,,,,,,,,,,,,,,,
1,why did god give negroes good rhythm ?? because he messed up their lips , hair , nose and skin so yes they are ugly !!!!!!!!!!!!!!,,,,,,,,,,,,,,,,
1,Maybe blacks aren't better , but their body is more shaped to hunt animals .,,,,,,,,,,,,,,,,,
1,The whites and the asians evoluated , and the blacks are still behind .,,,,,,,,,,,,,,,,,
1,Do non Whites really think they measure up to Whites ?,,,,,,,,,,,,,,,,,,
1,Every white person from Michigan knows that our Detroit negros are the worst in America .,,,,,,,,,,,,,,,,,,
1,These groids went haywire when they got in there and found themselves a white girl .,,,,,,,,,,,,,,,,,,
1,WE GOT MONEY AROUND HERE TOO Compton Crips Pt.1 - YouTube These negroes are in the middle of the street , seems like something of a zoo , playing with their cheap lowriders .,,,,,,,,,,,,,,,,
1,Humans and negroes use restaurants in entirely different ways .,,,,,,,,,,,,,,,,,,
1,Blacks seem to be hell bent on embarrassing themselves and acting like animals everywhere they go .. this is pretty typical behaviour ..,,,,,,,,,,,,,,,,,,
1,The only thing more disgusting than a White woman with a groid is a White woman who drags her White child into the filth with her .,,,,,,,,,,,,,,,,,,
1,Since they are just little kids i do n't want to be rude , but how ugly is the black kid compared to the others ? it 's not even adorable , it 's kinda scary lol,,,,,,,,,,,,,,,,
1,Situation in Switzerland is terrible , blacks and muslims are everywhere ! We were a great Country with a great People but all these monkeys are transforming Switzerland in a zoo where law is not respected .,,,,,,,,,,,,,,,,,
1,I had the luck ( ... ) to meet some africans in the past and I promise you that black are the worse cancer of the world , they 're ready to sell their own sister so you can imagine what will they do with our Countries ..,,,,,,,,,,,,,,,,,
1,Keep Russia free from dark skinned beings !!!! thank you and please forgive me for mistakes .,,,,,,,,,,,,,,,,,,
1,When I look at the Zimbawee 's Mugabe , I think `` Ape '' or `` Gorilla '' .,,,,,,,,,,,,,,,,,
1,Black and Asian immigrants who are coming in and those who were borne here and their breading patterns are the threat to our gene pool and not other white Europeans such as polish people .,,,,,,,,,,,,,,,,,,
1,Where can i find a complete list of anti black fliers. that have to do with black on white crimes , interracial babys , black drug dealers , etc etc .,,,,,,,,,,,,,,,
1,I have never seen an Asian woman dating an Asian man.They like the white man they re-force wiggers and our detrimental towards our cause.Cpamikei,,,,,,,,,,,,,,,,,,
1,What about all the tens of millions of negroes that are nothing more than criminals and parasites that do nothing but breed more criminals and parasites ?,,,,,,,,,,,,,,,,,,
1,Once the negros start coming in bunches it will be a hellhole and the whites will have to leave again and start a new community .,,,,,,,,,,,,,,,,,,
1,I am sure California is full of sick self hating whites , who think that for the good of all the black brown and yellow peoples of the world , whites need to commit racial suicide and disappear from their face of the earth for their sake and wo n't that be just dandy !,,,,,,,,,,,,,,,,
1,Maybe H & K did not realize that blacks do n't buy firearms , they steal them .,,,,,,,,,,,,,,,,,
1,They dress like blacks , talk Ike them , act just as stupid .,,,,,,,,,,,,,,,,
1,What alternative do you have other than kill the black policeman and every black cop you can until they get you .,,,,,,,,,,,,,,,,,,
1,Always nice to see a negro on the receiving end of a beat down from a white for a change .,,,,,,,,,,,,,,,,,,
1,As soon as i found out she was with child by a mulatto and she 's a wet back too , I suddenly found her to be repulsive and shall never watch anything she is in again .,,,,,,,,,,,,,,,,,
1,I'm heading down to DC to put a sign on the White House gates that will read : ' No savage negro BEASTS in the White House ! ',,,,,,,,,,,,,,,,,,
1,I know exactly what you 're saying , I just hate to see those worthless apes benefit from the great things that whites do .,,,,,,,,,,,,,,,,,
1,Those nogs in France do n't belong there and then they show how unruly they can be .,,,,,,,,,,,,,,,,,,
1,The ugly black will always be .... black !,,,,,,,,,,,,,,,,,,
1,and i bet not a single one was a dirty African.they will be well taken care of on welfare payments.just like the old days the Irish starve and have to go abroad to find work only this time parasitical foriegners stay here in nice new homes well fed watching big flat screen tellyspeople of Ireland WAKE UP !,,,,,,,,,,,,,,,,,,
1,Every action he 's taken reveals that he is completely unacceptable. as a citizen , in White societies All the blacks and browns can do is wreck and destroy - and that is all they have done , and do .,,,,,,,,,,,,,,,,
1,https://www.stormfront.org/forum/show...t+20867&page=9 Just go to my post further down the page , Drug dealing , Murdering , Racemixing , Zionist/Masonic scumbags The last picture of the black orangemen , f * ckin hell i nearly split my sides laughing,,,,,,,,,,,,,
1,I noticed a lot of fat little white girls with monkey boyfriends .,,,,,,,,,,,,,,,,,,
1,I've never been to London but from what I 've heard it 's like spot the white man and every girl down there almost has a little niglet half breed .,,,,,,,,,,,,,,,,,,
1,If this stupid brown savages would stop slaughtering animals or worshipping them ( like they do in India ) , maybe they would n't be starving and so poor .,,,,,,,,,,,,,,,,,
1,...mating with other mulattos would be ideal , but since there are n't huge numbers of mulatto children compared to those of Whites or blacks I 'd rather see them up with blacks so that White bloodlines stay intact .,,,,,,,,,,,,,,,,,
1,She may or may not be a Jew but she 's certainly stupid , she seems to think the Blacks wo n't kill her alongside every other White they can get their dirty hands on , what a muppet !,,,,,,,,,,,,,,,,
1,And the sad thing is the white students at those schools will act like that too .,,,,,,,,,,,,,,,,,,
1,He is a pathetic little chimp .,,,,,,,,,,,,,,,,,,
1,they act as if negros with aids should have the right to reproduce when they will die off and have no way to take care of the kid I cant believe that they are doing this by the millions its crazy,,,,,,,,,,,,,,,,,,
1,No white person should send a single penny or lift a single finger to help them .,,,,,,,,,,,,,,,,,,
1,He's a retarded feral negro ( yes , feral humans who cannot talk occasionally pop up , having been abandoned as children. ) .,,,,,,,,,,,,,,,,
1,I 've seen negroes who look ( and undoubtedly act ) like him .,,,,,,,,,,,,,,,,,,
1,When most whites today have so much white guilt laid upon them that they feel they have to act black or have sexual relations and children with blacks just to be accepted there is a problem with the white race memo .,,,,,,,,,,,,,,,,,,
1,There should not be problems between the different classes inside the race white since we are all whites they should be joined to fight against non-whites they are our enemies .,,,,,,,,,,,,,,,,,,
1,Black ``women''on London transport ...,,,,,,,,,,,,,,,,,,
1,If not kept in check , we may very will be living in an actual Planet of the Apes soon .,,,,,,,,,,,,,,,,,
1,As soon as I hear them uttering their monkey gibberish I feel like smashing my computer screen with my fist .,,,,,,,,,,,,,,,,,,
1,I can picture him as that baby monkey on the ' save the rainforest comercial or whatever,,,,,,,,,,,,,,,,,,
1,No wonder we are in such bad shape with this tribe in charge of the White House and Congress .,,,,,,,,,,,,,,,,,,
1,I hate to see such beautiful white females become victims of these sick , violent merciless animals .,,,,,,,,,,,,,,,,,
1,Why do n't White Europeans and Americans grow a set of balls , and deport these Black and brown animals from their countries ?,,,,,,,,,,,,,,,,,
1,SEX: MALE RACE : BLACK D.O.B : 08-24-1950 HEIGHT : 5 ' 11 WEIGHT : 180 EYE : BROWN HAIR BLACK In Custody For : 001 MISDEMEANOR COUNT OF CRIMINAL TRESPASS 2ND DEG This dude looks like an olde version of Cornielious from `` Planet of the Apes '' !,,,,,,,,,,,,,,,,,,
1,The blacks and browns are detroying sweden and nobody does anything about it ! : madex : madex : madex,,,,,,,,,,,,,,,,,,
1,unless you are a tourist or here the study for a year or two please just go back Russian , we dont need or want more slavs,,,,,,,,,,,,,,,,,
1,I hate the word racismost it makes people being called racismost think that they are doing something wrong when they the immigrants coming here are doing something wrong,,,,,,,,,,,,,,,,,,
1,Watching those videos makes me feel like im going to explode with hatred for those creatures .,,,,,,,,,,,,,,,,,,
1,Why would you want to see this pollution spread further into our gene pool ?,,,,,,,,,,,,,,,,,,
1,Thank the Gods she has chosen to go with her own kind .,,,,,,,,,,,,,,,,,,
1,ye i heard that one to. or ' we all came from Africa any way so why dose it matter ' ........ my answer ? ' we evolved to be better',,,,,,,,,,,,,,,,,,
1,Well , the warm weather is coming in and guess what , I now have to painstakingly endure all the offspring of these immigrants , Africans , foeigners ( Im putting them all because there is that many of them ) all playing out the front of the flats in the small garden area , screeching and shouting and their hyena pitched laughing .,,,,,,,,,,,,,
1,Every time I see a black security guard they are either sat down or on the phone , they have no proffesionalism whatsoever .,,,,,,,,,,,,,,,,,
1,Yeah, we could do with the same amount of black rapists as the Nordic countries are privileged enough to have .,,,,,,,,,,,,,,,,,
1,They all need to be sent back to Afreka along with the Joos that control our politicians .,,,,,,,,,,,,,,,,,,
1,DuetschGirlTX, No I live in a tiny ass town where i am only one of 100 white folks ( maybe less ) . near San Antonio. there are so many dirts around and they all stick together. so when it comes to a White Girl in this town i gotta have my own back ALWAYS Is that where you are ?,,,,,,,,,,,,,,,,,
1,BTW you are not wrong about Mildura , I went through there in mid 2000 and there was n't a non-White in sight but late last year when I went through there all I saw were islanders , indians , asians , and whatever other crap little johnnie could get dumped into the country .,,,,,,,,,,,,,,
1,The problem is in blacks ' heads , but hey , you have already known that .,,,,,,,,,,,,,,,,
1,Does it surprise you that those White hating non-whites still want to live in White countries made GREAT by White people and brought low by non-whites ?,,,,,,,,,,,,,,,,,,
1,They're cowards and simpletons who are utterly incapable of generating a reasoned argument free of sententiously repeated stock phrases and scare-words like `` racismost . '',,,,,,,,,,,,,,,,,,
1,The Black race is yet to invent any kind of civilization .,,,,,,,,,,,,,,,,,,
1,Any kind of civilization Negroes have today is a gift from the White race .,,,,,,,,,,,,,,,,,,
1,Honestly if they ever fired them I 'd expect they 'd do more damage to themselves since the average negro lacks the intellect for basic firearms training .,,,,,,,,,,,,,,,,,,
1,Dude stink bomb this event , when it gets dark , chuck a bunch of them on the floor , different spots , when the chimps start jiving and grooving , they will step on them .,,,,,,,,,,,,,
1,LOL GJ brother 10 points for the Uber humans and - 10 for the sub human ape creatures you are truly one bad mofo whitey crakker man,,,,,,,,,,,,,,,,,,
1,That or it might be that Blacks have smaller brains and an IQ 15-30 points lower than that of White people on average .,,,,,,,,,,,,,,,,,,
1,There is no different versions of bad when it comes to race traitors , if you date a non white it is bad , no matter if the non-white is asian , black or arab.,,,,,,,,,,,,,,,
1,I ca n't fathom seeing all those brainless whites along with their negro counterparts worshipping Obama .,,,,,,,,,,,,,,,,,,
1,This disgusting negro makes us ( white people ) look bad .,,,,,,,,,,,,,,,,,,
1,just saw a hershey 's commercial on tv , ca n't find it on jewtube shows a White woman happily sharing candy with some mop headed groid male on an escalator guess I wo n't be buying that stuff ever again,,,,,,,,,,,,,,,,,
1,Sad it happens more and more they want to take ours but what do they think i want to date one of those negro women,,,,,,,,,,,,,,,,,,
1,I just need to turn on a tv and I see it advertised everywhere , mostly African apes with attractive white woman .,,,,,,,,,,,,,,,,,
1,When the populations are not seperated racismoal mixing occurs and that is genocide .,,,,,,,,,,,,,,,,,,
1,Depending on which part of Scotland you 're going to I might have some bad news for you about the Kaffirs .,,,,,,,,,,,,,,,,,,
1,Charlton Heston is rolling over in his grave knowing an ape has been elected to the white house .,,,,,,,,,,,,,,,,,,
1,Yeah, seems Negroes are too stupid or too arrogant to use an existing thread , so we see a new `` we be eguptshuns an sheet '' every week or so .,,,,,,,,,,,,,,,,
1,High time they get back to mother Affika and fix that mess .,,,,,,,,,,,,,,,,,,
1,Anyways , smearing a single DNA stem with black DNA is horrible .,,,,,,,,,,,,,,,,,
1,The big black females pushed their way into the Houston city counsel meeting and said all of the white teachers they used to have all quit ( do you wonder why ? ) and all you sent us to replace all them teachers was a bunch of dumb blacks .,,,,,,,,,,,,,,,,,,
1,If I could create a disease that wipes out all Black 's I would .,,,,,,,,,,,,,,,,,,
1,The Brown and Black filth are starting to creep into Orillia and Midland sadly .,,,,,,,,,,,,,,,,,,
1,Yup, Africans breeding like cockroaches , AIDs is not killing them off fast enough to stop their growth !,,,,,,,,,,,,,,,,
1,No, I hope the negro is not all right , ever .,,,,,,,,,,,,,,,,
1,The negro is for White genocide , and I have nothing for the negro , not even sympathy in any way .,,,,,,,,,,,,,,,,
1,If monkeys are on my property i call animal control and defend my family and property with whatever means possible , simply talking sense to a monkey and pointing at it will not stop it from misbehaving !,,,,,,,,,,,,,,,,,
1,I was basically a babysitter , and the apes went nuts , and frankly , I could not control them and had to press the panic button twice to get someone to help me .,,,,,,,,,,,,,,,
1,I also , unfortuantely , spent 7-8th grade in a 95 % monkey house .,,,,,,,,,,,,,,,,
1,I could n't imagine living in those conditions with drugs and filthy negros everywhere .,,,,,,,,,,,,,,,,,,
1,Shows what sub human group these negroid belong , the poor horse got an infection from the dirty pervert .,,,,,,,,,,,,,,,,,
1,I think it is a bit late to think to look after the safety and the future of white people in South africa .,,,,,,,,,,,,,,,,,,
1,When I was last time in South Africa , we went to Sun City and saw little black monkey children swimming , funniest thing was watching drying water off their faces , it looks exactly like baboon or something , way they do it , whites have certain mannerisms with doing things , they have completely ape-like ones .,,,,,,,,,,,,
1,Homo neanderthalensis was just a dumb negro subspecies of the negroid species and never white-european .,,,,,,,,,,,,,,,,,,
1,Blacks and mexicans were represented thoroughl+C3:C300y. do yourselves a favor , shoot your t.v. !,,,,,,,,,,,,,,,,,
1,Africa is a hole area of natural resources and only made mud huts from it ... what wild life are able to make even better huts ie birds,,,,,,,,,,,,,,,,,,
1,As far as im concerned as soon as the little half breed is born , it should be tied round her neck and both mother and mulattoe should be flung in the nearest river.Lets see if daddy jumps in to save them !,,,,,,,,,,,,,,,,,
1,that prince who married that asian is a freak. imagine his half and half kids growing up and trying to marry into other royal families,,,,,,,,,,,,,,,,,,
1,They do it because they know it pisses the whites off , by showing disrespect as such for other people shows they have no respect for themselves .,,,,,,,,,,,,,,,,,
1,Being a smaller country , Ireland will quicker fill up with ethnic scum .,,,,,,,,,,,,,,,,,
1,The only way to stop it and its followers from spreading is to join a White unity organization and not support democracy by not voting .,,,,,,,,,,,,,,,,,,
1,So sick of the way its working , I remember when I was growing up in Winnipeg the little shops were all white runned and owned and would hire people from the community and it was great it helped people and kept streets safe even though me and others would cause some bull * * * * it wasnt anything to how it is now .,,,,,,,,,,,,,,,,,
1,50 shades of brown,,,,,,,,,,,,,,,,,,
1,Protesting Catholic guilt mongering and intellectual deprivation is as worthy of mentioning as the protesting of institutionalized and indoctrinated White guilt from the Jewlords across the Apelantic .,,,,,,,,,,,,,,,,,,
1,You will know it is a nightmare on day you wake up and you have a black muslim running your country .,,,,,,,,,,,,,,,,,,
1,the black security guards are racist and look evil and are always giving dirty looks to white customers especially polish customers !,,,,,,,,,,,,,,,,,,
1,I am not Ukrainian but the Ukraine nationalists and right wing should understand that our white race in all nations in Europe North America Australia and South Africa along with any other white nations should support each other and join together against the Marxist multiculturistic agenda that 's invading every white nation and start to over through the powers to be that is responsible for this genocide and start considering deportation of non whites in white nations !,,,,,,,,,,,,,,,,,,
1,Blacks in South Africa wondering why their country is going to hell when they put Blacks in charge .,,,,,,,,,,,,,,,,,,
1,S.African police clash with poor protesters | Top News | Reuters Hand the country over to Muds and what do you expect .,,,,,,,,,,,,,,,,,,
1,I have n't , because I threw out my TV in the mid-1990s when there were to many blacks on TV .,,,,,,,,,,,,,,,,,
1,I 'm in Birmingham , myself and even the nicer suburban area where I 'm from is getting darker and darker .,,,,,,,,,,,,,,,,,
1,The best way to prevent Black on White rape is to succeed in our goal of removing them all from white countries .,,,,,,,,,,,,,,,,,,
1,He's a race traitor .,,,,,,,,,,,,,,,,,,
1,Him , his wife , and his kids have absolutely no place in a white nation and it 's disgusting how they put an end to thousands of years of evolution for being so selfish .,,,,,,,,,,,,,,,,
1,Damn affirmative action they got the white house , now our beer halls , their is only one safe place left ... God 's save Iceland .,,,,,,,,,,,,,,,,
1,unfortunately chicago doesnt prove this .. we need to send them all to the poles we could make better use of africa,,,,,,,,,,,,,,,,,,
1,"Well, at least these dumb negroes got the fact that Jews are evil right ; though I suspect whitey and the jews are one in the same to their primitive minds ...",,,,,,,,,,,,,,,,,,
1,When they sent n iggers to space the space ships started blowing up .,,,,,,,,,,,,,,,,,,
1,The thought of Africans in space is laughable .,,,,,,,,,,,,,,,,,,
1,This is a sickening trend , even in countries like mine where there are not many Negroes they do this and all because of the sickening media brainwashing .,,,,,,,,,,,,,,,,,
1,Look what happens when Whites leave black Countries alone to do what they do naturally The blacks in White Countries today should be on their knees thanking Whites for trying to civilize them,,,,,,,,,,,,,,,,,,
1,Also notice that the Nig giving the running commentary said nothing about the ' White boy ' a term the Yard Ape will never fail to use when given the chance !,,,,,,,,,,,,,,,,,,
1,Our school systems are nothing more then breeding grounds for the slave system the zionist are determined to create .,,,,,,,,,,,,,,,,,,
1,As Hispanic and Negro populations increase test score averages will decrease .,,,,,,,,,,,,,,,,,,
1,They are often confused with whites when they hide their tail , horns , and hooves .,,,,,,,,,,,,,,,,
1,Just watch them at North America and they like all black sport players and their `` slang '' .,,,,,,,,,,,,,,,,,,
1,I am a white female and I am proud of my race. and dating a black would be disgusting,,,,,,,,,,,,,,,,,,
1,There are many alternatives to adopting little mud babies.There is srrogate mothers and invitro fertilization are just two.If these are not financialy possile then wait till it is .,,,,,,,,,,,,,,,,,,
1,Your history teacher has to do what the zionist butt heads want them to do .,,,,,,,,,,,,,,,,,,
1,Its simple , they want to create white guilt , .,,,,,,,,,,,,,,,,
1,I would just like to express how sick and tired I am of bi-racial half-breeds kids at school boasting about their `` unique heritages '' .,,,,,,,,,,,,,,,,,,
1,They go around school acting like being half White/half black or half White/half asian is something to be proud of .,,,,,,,,,,,,,,,,,,
1,Meanwhile those nonwhites continue to breed even as their nonwhite societies continue to inflict their harsh uncivilized nonwhite culture on us .,,,,,,,,,,,,,,,,,,
1,Their nonwhite societies are failing in every area and yet they are trying to force White civilization to accept their backward nonwhite culture .,,,,,,,,,,,,,,,,,,
1,It would be great if we could get every last white out of there so no one would be there to fix things .,,,,,,,,,,,,,,,,,,
1,At the link just below , I 've been urging our brothers and sisters in South Africa to run that message or a similar message on that site every month : Malaysians , Venezuelans , Chinese let White House broadcast their agendas,,,,,,,,,,,,,,,
1,ZOG is getting rid of every White-dominated area in the world .,,,,,,,,,,,,,,,,,,
1,Negros are so dumb .,,,,,,,,,,,,,,,,,,
1,You can take a negro out of Africa and have it grow up in Boston and Orlando , and it still reverts to its innate negro ways the moment it hits its native African soil .,,,,,,,,,,,,,,,,,
1,Lack of compassion seems to go hand and hand with lack the of White blood .,,,,,,,,,,,,,,,,,,
1,The biggest problem is new york.There are blacks all over the streets , when you 're in new york think you 're in nigeria .,,,,,,,,,,,,,,,,,
1,We spent too much time and effort worrying about Blacks while the Asians and Hispanics , were the ones carrying the ball .,,,,,,,,,,,,,,,,,
1,God, it is sickening to see these young lives taken by feral negroes .,,,,,,,,,,,,,,,,,
1,God bless them all , to hell with the blacks .,,,,,,,,,,,,,,,,,
1,Angela Spain was murdered in her home by a drifter negro .,,,,,,,,,,,,,,,,,,
1,thank you very much for your replies ! I just wonder if there is a site of the NNP in english ? anyway I hope Russia will kick non-white butts out of its territory.so long , brothers !,,,,,,,,,,,,,,,,,
1,hope one day i will be able to see finland withouth those * * * * ing monkey ass soumalian ... im glad .. because finland has lowest immigrate in europe ..... kick those * * * * ing soumalians ass .....,,,,,,,,,,,,,,,,,,
1,These are the latest statistics , Ethnic groups : Irish 87.4 % , other white 7.5 % , Asian 1.3 % , black 1.1 % , mixed 1.1 % , unspecified 1.6 % ( 2006 census ) , so even if that seven percent was all poles , if you add up all the mud races , it would be equivalent .,,,,,,,,,
1,So why are n't you complaining about the other mud races ?,,,,,,,,,,,,,,,,,,
1,i feel sorry for her if one of her daughters did die but the harsh reality is she has no connection to ireland and she must go.as a mother it is her job to protect her children in Nigeria.every Nigerian who has a problem cant come running over here,,,,,,,,,,,,,,,,,,
1,I know a non white who got 5 A 's and 4 B 's but he robably cheated 2508,,,,,,,,,,,,,,,,,,
1,So now Stormfront Ireland is solely responsible for all racist attacks in Ireland. lol Ted is right this is the work of the Kikes those * * * * ers are never happy .,,,,,,,,,,,,,,,,,,
1,Most if not all of the whites at my school are complete race traitors,,,,,,,,,,,,,,,,,,
1,Seeing the teams of white nations have black players in their ranks is a depressing site to see.They should be representing the best of our nations not the worst,,,,,,,,,,,,,,,,,,
1,Yeah London has gone to hell , when all the remaining whites are gone it will become a zombie town of crumbling buildings , dealers and junkies .,,,,,,,,,,,,,,,,
1,Drive and risk an accident being drunk , or walk and certainly get murdered by a kaffir ?,,,,,,,,,,,,,,,,,
1,Maybe God was punishing them for their interracial marriage .,,,,,,,,,,,,,,,,,,
1,Another black is now trying to convince me that black slaves were force-fed animal lard through huge tubes and had their hands and feet cut off so they could work in the cotton fields without running away,,,,,,,,,,,,,,,,,,
1,When the wheel hits the road , it wo n't matter if you swing for yellow or black , just that you swing from the nearest overpass .,,,,,,,,,,,,,,,,
1,Negroids could n't put together a bake sale properly much less a work force .,,,,,,,,,,,,,,,,,,
1,Would black people rather take one million dollars to move themselves and their immediate family back to the motherland , or stay here in America and blame whites for their poverty and crime ?,,,,,,,,,,,,,,,,,
1,there was this gay negro i was forced to work with on my first job out of high school here in sunny florida .,,,,,,,,,,,,,,,,,,
1,hey and if you ever experience a lawsuit from the negro hispanic jews claiming you are racist , simply make an example of the hundreds of negro mexican schools that deny white children .,,,,,,,,,,,,,,,,,
1,Better some overly polite White guy offering to tell you about the word of Joseph Smith than some nignog car jacking you .,,,,,,,,,,,,,,,,,,
1,When she goes outside , the subhuman ape thing is usually out there .,,,,,,,,,,,,,,,,,
1,One time she came in crying telling me that pavement ape `` hit me in the tummy '' .,,,,,,,,,,,,,,,,,,
1,I went outside and the niglet 's mom told me my daughter had hit her first .,,,,,,,,,,,,,,,,,,
1,My daughter said she had only touched the apeling 's back , not hit her .,,,,,,,,,,,,,,,,,
1,It 's annoying to live in a time where a subhuman monkey coon thinks it 's okay to hit an Aryan white blond , blue-eyed child .,,,,,,,,,,,,,,,,,
1,Education system is messed up for the same reason everything else is messed up - Jews , non-whites and liberal women run and ruin everything .,,,,,,,,,,,,,,,,,
1,I going to get homeschooled tired of looney lefty teachers and the negroes,,,,,,,,,,,,,,,,,,
1,Yeah, but back in the day there were n't that many millions nigs and wetbacks .,,,,,,,,,,,,,,,,,
1,There is only about 10 black kids in our school and 300 f' n spics. its my senior year and i really cant stand all this anymore. i know there are lots of others on this board that feel the same , but i need some support !,,,,,,,,,,,,,,,,,
1,I find it funny that blacks find their own women disgusting , but i find it even more disgusting that because of this they go after white women , and are usually successful , its good to see a white girl tell one off .,,,,,,,,,,,,,,,
1,And second of all whites are smarter than asians and if you ever look at bodybuilding contests you will see only whites maybe one or 2 blacks .,,,,,,,,,,,,,,,,,,
1,Looking at your guys situation makes me realise how lucky I am that my high school is 100 % white however even in my remote countryside community there are more and more black 's moving into the area , and their kids .,,,,,,,,,,,,,,,,,
1,It's a good to add a hint of truth in your essay 's but maybe you have it better off then I did at high school , every teacher I had was very liberal and anti-racist , and could barely accept the truth .,,,,,,,,,,,,,,,,
1,As usual the magic negro opens his mouth and lies pour forth .,,,,,,,,,,,,,,,,,,
1,If lies were money he would be the richest negro in the world,,,,,,,,,,,,,,,,,,
1,They need the white male distracted as much as possible and of course the glorification of the groid ; two birds one stone .,,,,,,,,,,,,,,,,,,
1,I reported some time ago that negroes will even strip the bricks off your home while you are away at work .,,,,,,,,,,,,,,,,,,
1,Well then , that makes the fact these scum are sending millions of their kin to my country , taking jobs from the White inhabitants , killing our people and mongrelizing our race all alright then .,,,,,,,,,,,,,,,
1,As the saying goes , you can take the ape out of the jungle , but you ca n't take the jungle out of the ape .,,,,,,,,,,,,,,,,
1,Wasn't it the Government in the Congo that was at war with the gorillas a while back because the gorillas were `` threatening their superiority '' ?,,,,,,,,,,,,,,,,,,
1,I've always said that black people make the perfect slaves because anyone who cannot or will not take responsibility and be master of their own lives is already a slave .,,,,,,,,,,,,,,,,,,
1,I believe these apes may be on to something by chopping off penises to cure aids .,,,,,,,,,,,,,,,,,,
1,An ape without a penis will never be able to pass it on to others .,,,,,,,,,,,,,,,,,,
